,date,district,district_id,subindicator_id,value
148,2017,Barabanki,tzH6nJu9SwS,LQRtOv7IQrQ.Ti9FJqkSK6J,102955.0
149,2017,Barabanki,tzH6nJu9SwS,OVLPx9JL7u7.Ti9FJqkSK6J,1211214.0
150,2017,Barabanki,tzH6nJu9SwS,VJ2ccLnKQPv,8.8
151,2017,Barabanki,tzH6nJu9SwS,Z0rXYfMQZST,0.0
152,2017,Barabanki,tzH6nJu9SwS,yBfIJ7wBbcF,1.7
153,2017,Barabanki,tzH6nJu9SwS,t03VPkJ5UXd,181643.0
154,2017,Bareilly,vVqY3DPcpHf,TmeumlBaObG,145015.0
155,2017,Bareilly,vVqY3DPcpHf,FRafAE8qFP6,59.7
156,2017,Bareilly,vVqY3DPcpHf,ux6uaflq7xZ,30.6
157,2017,Bareilly,vVqY3DPcpHf,cB6y5lovUZX.Ti9FJqkSK6J,130293.0
158,2017,Bareilly,vVqY3DPcpHf,GXgfTS67qxe.Ti9FJqkSK6J,52410.0
159,2017,Bareilly,vVqY3DPcpHf,LQRtOv7IQrQ.Ti9FJqkSK6J,143322.0
160,2017,Bareilly,vVqY3DPcpHf,OVLPx9JL7u7.Ti9FJqkSK6J,1695410.0
161,2017,Bareilly,vVqY3DPcpHf,VJ2ccLnKQPv,14.4
162,2017,Bareilly,vVqY3DPcpHf,Z0rXYfMQZST,0.1
163,2017,Bareilly,vVqY3DPcpHf,yBfIJ7wBbcF,1.8
164,2017,Bareilly,vVqY3DPcpHf,t03VPkJ5UXd,258214.0
165,2017,Basti,J1P16zQEOUT,TmeumlBaObG,78349.0
166,2017,Basti,J1P16zQEOUT,FRafAE8qFP6,73.7
167,2017,Basti,J1P16zQEOUT,ux6uaflq7xZ,60.6
168,2017,Basti,J1P16zQEOUT,cB6y5lovUZX.Ti9FJqkSK6J,74860.0
169,2017,Basti,J1P16zQEOUT,GXgfTS67qxe.Ti9FJqkSK6J,29189.0
170,2017,Basti,J1P16zQEOUT,LQRtOv7IQrQ.Ti9FJqkSK6J,82346.0
171,2017,Basti,J1P16zQEOUT,OVLPx9JL7u7.Ti9FJqkSK6J,905809.0
172,2017,Basti,J1P16zQEOUT,VJ2ccLnKQPv,7.9
173,2017,Basti,J1P16zQEOUT,Z0rXYfMQZST,0.0
174,2017,Basti,J1P16zQEOUT,yBfIJ7wBbcF,1.2
175,2017,Basti,J1P16zQEOUT,t03VPkJ5UXd,143841.0
176,2017,Bhadohi,PeUY1vj02UQ,TmeumlBaObG,34609.0
177,2017,Bhadohi,PeUY1vj02UQ,FRafAE8qFP6,80.7
178,2017,Bhadohi,PeUY1vj02UQ,ux6uaflq7xZ,45.5
179,2017,Bhadohi,PeUY1vj02UQ,cB6y5lovUZX.Ti9FJqkSK6J,42723.0
180,2017,Bhadohi,PeUY1vj02UQ,GXgfTS67qxe.Ti9FJqkSK6J,14766.0
181,2017,Bhadohi,PeUY1vj02UQ,LQRtOv7IQrQ.Ti9FJqkSK6J,46995.0
182,2017,Bhadohi,PeUY1vj02UQ,OVLPx9JL7u7.Ti9FJqkSK6J,507651.0
183,2017,Bhadohi,PeUY1vj02UQ,VJ2ccLnKQPv,25.0
184,2017,Bhadohi,PeUY1vj02UQ,Z0rXYfMQZST,0.1
185,2017,Bhadohi,PeUY1vj02UQ,yBfIJ7wBbcF,0.3
186,2017,Bhadohi,PeUY1vj02UQ,t03VPkJ5UXd,72903.0
187,2017,Bijnor,uCYjHW7FuGG,TmeumlBaObG,98851.0
188,2017,Bijnor,uCYjHW7FuGG,FRafAE8qFP6,73.1
189,2017,Bijnor,uCYjHW7FuGG,ux6uaflq7xZ,31.4
190,2017,Bijnor,uCYjHW7FuGG,cB6y5lovUZX.Ti9FJqkSK6J,98775.0
191,2017,Bijnor,uCYjHW7FuGG,GXgfTS67qxe.Ti9FJqkSK6J,47786.0
192,2017,Bijnor,uCYjHW7FuGG,LQRtOv7IQrQ.Ti9FJqkSK6J,108653.0
193,2017,Bijnor,uCYjHW7FuGG,OVLPx9JL7u7.Ti9FJqkSK6J,1326306.0
194,2017,Bijnor,uCYjHW7FuGG,VJ2ccLnKQPv,10.8
195,2017,Bijnor,uCYjHW7FuGG,Z0rXYfMQZST,0.0
196,2017,Bijnor,uCYjHW7FuGG,yBfIJ7wBbcF,0.7
197,2017,Bijnor,uCYjHW7FuGG,t03VPkJ5UXd,185677.0
198,2017,Budaun,eA37kyBRRuZ,TmeumlBaObG,113374.0
199,2017,Budaun,eA37kyBRRuZ,FRafAE8qFP6,58.9
200,2017,Budaun,eA37kyBRRuZ,ux6uaflq7xZ,40.5
201,2017,Budaun,eA37kyBRRuZ,cB6y5lovUZX.Ti9FJqkSK6J,109694.0
202,2017,Budaun,eA37kyBRRuZ,GXgfTS67qxe.Ti9FJqkSK6J,41335.0
203,2017,Budaun,eA37kyBRRuZ,LQRtOv7IQrQ.Ti9FJqkSK6J,120663.0
204,2017,Budaun,eA37kyBRRuZ,OVLPx9JL7u7.Ti9FJqkSK6J,1167677.0
205,2017,Budaun,eA37kyBRRuZ,VJ2ccLnKQPv,5.0
206,2017,Budaun,eA37kyBRRuZ,Z0rXYfMQZST,0.1
207,2017,Budaun,eA37kyBRRuZ,yBfIJ7wBbcF,0.7
208,2017,Budaun,eA37kyBRRuZ,t03VPkJ5UXd,209470.0
209,2017,Bulandshahar,ogBt4gWCiem,TmeumlBaObG,102075.0
210,2017,Bulandshahar,ogBt4gWCiem,FRafAE8qFP6,68.8
211,2017,Bulandshahar,ogBt4gWCiem,ux6uaflq7xZ,38.0
212,2017,Bulandshahar,ogBt4gWCiem,cB6y5lovUZX.Ti9FJqkSK6J,102476.0
213,2017,Bulandshahar,ogBt4gWCiem,GXgfTS67qxe.Ti9FJqkSK6J,55383.0
214,2017,Bulandshahar,ogBt4gWCiem,LQRtOv7IQrQ.Ti9FJqkSK6J,112723.0
215,2017,Bulandshahar,ogBt4gWCiem,VJ2ccLnKQPv,17.1
216,2017,Bulandshahar,ogBt4gWCiem,Z0rXYfMQZST,0.0
217,2017,Bulandshahar,ogBt4gWCiem,yBfIJ7wBbcF,1.4
218,2017,Bulandshahar,ogBt4gWCiem,OVLPx9JL7u7.Ti9FJqkSK6J,1256691.0
219,2017,Bulandshahar,ogBt4gWCiem,t03VPkJ5UXd,192197.0
220,2017,Chandauli,ClbehnmwSec,TmeumlBaObG,56147.0
221,2017,Chandauli,ClbehnmwSec,FRafAE8qFP6,77.4
222,2017,Chandauli,ClbehnmwSec,ux6uaflq7xZ,49.9
223,2017,Chandauli,ClbehnmwSec,cB6y5lovUZX.Ti9FJqkSK6J,57417.0
224,2017,Chandauli,ClbehnmwSec,GXgfTS67qxe.Ti9FJqkSK6J,16834.0
225,2017,Chandauli,ClbehnmwSec,LQRtOv7IQrQ.Ti9FJqkSK6J,63159.0
226,2017,Chandauli,ClbehnmwSec,VJ2ccLnKQPv,30.4
227,2017,Chandauli,ClbehnmwSec,Z0rXYfMQZST,0.0
228,2017,Chandauli,ClbehnmwSec,yBfIJ7wBbcF,1.2
229,2017,Chandauli,ClbehnmwSec,OVLPx9JL7u7.Ti9FJqkSK6J,695203.0
230,2017,Chandauli,ClbehnmwSec,t03VPkJ5UXd,106738.0
231,2017,Chitrakoot,i2fSZZ3QAJJ,TmeumlBaObG,26087.0
232,2017,Chitrakoot,i2fSZZ3QAJJ,FRafAE8qFP6,74.1
233,2017,Chitrakoot,i2fSZZ3QAJJ,ux6uaflq7xZ,67.1
234,2017,Chitrakoot,i2fSZZ3QAJJ,cB6y5lovUZX.Ti9FJqkSK6J,27454.0
235,2017,Chitrakoot,i2fSZZ3QAJJ,GXgfTS67qxe.Ti9FJqkSK6J,10479.0
236,2017,Chitrakoot,i2fSZZ3QAJJ,LQRtOv7IQrQ.Ti9FJqkSK6J,30200.0
237,2017,Chitrakoot,i2fSZZ3QAJJ,VJ2ccLnKQPv,33.7
238,2017,Chitrakoot,i2fSZZ3QAJJ,Z0rXYfMQZST,0.0
239,2017,Chitrakoot,i2fSZZ3QAJJ,yBfIJ7wBbcF,1.2
240,2017,Chitrakoot,i2fSZZ3QAJJ,OVLPx9JL7u7.Ti9FJqkSK6J,347883.0
241,2017,Chitrakoot,i2fSZZ3QAJJ,t03VPkJ5UXd,50347.0
242,2017,Deoria,Tf9b9qcbghH,TmeumlBaObG,89574.0
243,2017,Deoria,Tf9b9qcbghH,FRafAE8qFP6,82.0
244,2017,Deoria,Tf9b9qcbghH,ux6uaflq7xZ,65.1
245,2017,Deoria,Tf9b9qcbghH,cB6y5lovUZX.Ti9FJqkSK6J,89716.0
246,2017,Deoria,Tf9b9qcbghH,GXgfTS67qxe.Ti9FJqkSK6J,26059.0
247,2017,Deoria,Tf9b9qcbghH,LQRtOv7IQrQ.Ti9FJqkSK6J,98687.0
248,2017,Deoria,Tf9b9qcbghH,VJ2ccLnKQPv,18.0
249,2017,Deoria,Tf9b9qcbghH,Z0rXYfMQZST,0.0
250,2017,Deoria,Tf9b9qcbghH,yBfIJ7wBbcF,0.4
251,2017,Deoria,Tf9b9qcbghH,OVLPx9JL7u7.Ti9FJqkSK6J,1058661.0
252,2017,Deoria,Tf9b9qcbghH,t03VPkJ5UXd,160089.0
253,2017,Etah,ZLcx4iOVyN5,TmeumlBaObG,52168.0
254,2017,Etah,ZLcx4iOVyN5,FRafAE8qFP6,61.7
255,2017,Etah,ZLcx4iOVyN5,ux6uaflq7xZ,29.9
256,2017,Etah,ZLcx4iOVyN5,cB6y5lovUZX.Ti9FJqkSK6J,54761.0
257,2017,Etah,ZLcx4iOVyN5,GXgfTS67qxe.Ti9FJqkSK6J,21515.0
258,2017,Etah,ZLcx4iOVyN5,LQRtOv7IQrQ.Ti9FJqkSK6J,60237.0
259,2017,Etah,ZLcx4iOVyN5,VJ2ccLnKQPv,10.9
260,2017,Etah,ZLcx4iOVyN5,Z0rXYfMQZST,0.0
261,2017,Etah,ZLcx4iOVyN5,yBfIJ7wBbcF,2.5
262,2017,Etah,ZLcx4iOVyN5,OVLPx9JL7u7.Ti9FJqkSK6J,619216.0
263,2017,Etah,ZLcx4iOVyN5,t03VPkJ5UXd,100542.0
264,2017,Etawah,Pm0jLk6EAiE,TmeumlBaObG,40224.0
265,2017,Etawah,Pm0jLk6EAiE,FRafAE8qFP6,75.2
266,2017,Etawah,Pm0jLk6EAiE,ux6uaflq7xZ,61.0
267,2017,Etawah,Pm0jLk6EAiE,cB6y5lovUZX.Ti9FJqkSK6J,40207.0
268,2017,Etawah,Pm0jLk6EAiE,GXgfTS67qxe.Ti9FJqkSK6J,23079.0
269,2017,Etawah,Pm0jLk6EAiE,LQRtOv7IQrQ.Ti9FJqkSK6J,44227.0
270,2017,Etawah,Pm0jLk6EAiE,VJ2ccLnKQPv,12.7
271,2017,Etawah,Pm0jLk6EAiE,Z0rXYfMQZST,0.0
272,2017,Etawah,Pm0jLk6EAiE,yBfIJ7wBbcF,1.1
273,2017,Etawah,Pm0jLk6EAiE,OVLPx9JL7u7.Ti9FJqkSK6J,568443.0
274,2017,Etawah,Pm0jLk6EAiE,t03VPkJ5UXd,75568.0
275,2017,Farrukhabad,uEEwlAGZXWW,TmeumlBaObG,57059.0
276,2017,Farrukhabad,uEEwlAGZXWW,FRafAE8qFP6,52.0
277,2017,Farrukhabad,uEEwlAGZXWW,ux6uaflq7xZ,34.4
278,2017,Farrukhabad,uEEwlAGZXWW,cB6y5lovUZX.Ti9FJqkSK6J,55290.0
279,2017,Farrukhabad,uEEwlAGZXWW,GXgfTS67qxe.Ti9FJqkSK6J,19454.0
280,2017,Farrukhabad,uEEwlAGZXWW,LQRtOv7IQrQ.Ti9FJqkSK6J,60818.0
281,2017,Farrukhabad,uEEwlAGZXWW,VJ2ccLnKQPv,7.4
282,2017,Farrukhabad,uEEwlAGZXWW,Z0rXYfMQZST,0.0
283,2017,Farrukhabad,uEEwlAGZXWW,yBfIJ7wBbcF,3.4
284,2017,Farrukhabad,uEEwlAGZXWW,OVLPx9JL7u7.Ti9FJqkSK6J,689906.0
285,2017,Farrukhabad,uEEwlAGZXWW,t03VPkJ5UXd,105504.0
286,2017,Fatehpur,ibLiLcaKzw2,TmeumlBaObG,68313.0
287,2017,Fatehpur,ibLiLcaKzw2,FRafAE8qFP6,69.0
288,2017,Fatehpur,ibLiLcaKzw2,ux6uaflq7xZ,56.8
289,2017,Fatehpur,ibLiLcaKzw2,cB6y5lovUZX.Ti9FJqkSK6J,67920.0
290,2017,Fatehpur,ibLiLcaKzw2,GXgfTS67qxe.Ti9FJqkSK6J,29196.0
291,2017,Fatehpur,ibLiLcaKzw2,LQRtOv7IQrQ.Ti9FJqkSK6J,74712.0
292,2017,Fatehpur,ibLiLcaKzw2,VJ2ccLnKQPv,10.8
293,2017,Fatehpur,ibLiLcaKzw2,Z0rXYfMQZST,0.2
294,2017,Fatehpur,ibLiLcaKzw2,yBfIJ7wBbcF,0.7
295,2017,Fatehpur,ibLiLcaKzw2,OVLPx9JL7u7.Ti9FJqkSK6J,950156.0
296,2017,Fatehpur,ibLiLcaKzw2,t03VPkJ5UXd,127986.0
297,2017,Firozabad,eJTsuE56XDF,TmeumlBaObG,73059.0
298,2017,Firozabad,eJTsuE56XDF,FRafAE8qFP6,67.0
299,2017,Firozabad,eJTsuE56XDF,ux6uaflq7xZ,41.1
300,2017,Firozabad,eJTsuE56XDF,cB6y5lovUZX.Ti9FJqkSK6J,71446.0
301,2017,Firozabad,eJTsuE56XDF,GXgfTS67qxe.Ti9FJqkSK6J,32645.0
302,2017,Firozabad,eJTsuE56XDF,LQRtOv7IQrQ.Ti9FJqkSK6J,78590.0
303,2017,Firozabad,eJTsuE56XDF,VJ2ccLnKQPv,14.2
304,2017,Firozabad,eJTsuE56XDF,Z0rXYfMQZST,0.3
305,2017,Firozabad,eJTsuE56XDF,yBfIJ7wBbcF,1.4
306,2017,Firozabad,eJTsuE56XDF,OVLPx9JL7u7.Ti9FJqkSK6J,908451.0
307,2017,Firozabad,eJTsuE56XDF,t03VPkJ5UXd,135721.0
308,2017,Gautam Buddha Nagar,bNmwkrQeP3e,TmeumlBaObG,55751.0
309,2017,Gautam Buddha Nagar,bNmwkrQeP3e,FRafAE8qFP6,70.9
310,2017,Gautam Buddha Nagar,bNmwkrQeP3e,ux6uaflq7xZ,24.7
311,2017,Gautam Buddha Nagar,bNmwkrQeP3e,cB6y5lovUZX.Ti9FJqkSK6J,44149.0
312,2017,Gautam Buddha Nagar,bNmwkrQeP3e,GXgfTS67qxe.Ti9FJqkSK6J,31224.0
313,2017,Gautam Buddha Nagar,bNmwkrQeP3e,LQRtOv7IQrQ.Ti9FJqkSK6J,48564.0
314,2017,Gautam Buddha Nagar,bNmwkrQeP3e,VJ2ccLnKQPv,21.0
315,2017,Gautam Buddha Nagar,bNmwkrQeP3e,Z0rXYfMQZST,0.6
